cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
213.8,98.1,24.5,0,0,0,0,181.7,6.7,1066,785.5,0,3,13.18,0,336.4,0.540130795
213.8,98.1,24.5,0,0,0,0,181.7,6.7,1066,785.5,0,14,17.84,0,336.4,0.540130795
213.8,98.1,24.5,0,0,0,0,181.7,6.7,1066,785.5,0,28,40.23,0,336.4,0.540130795
213.8,98.1,24.5,0,0,0,0,181.7,6.7,1066,785.5,0,56,47.13,0,336.4,0.540130795
213.8,98.1,24.5,0,0,0,0,181.7,6.7,1066,785.5,0,100,49.97,0,336.4,0.540130795
229.7,0,118.2,0,0,0,0,195.2,6.1,1028.1,757.6,0,3,13.36,0,347.9,0.561080769
229.7,0,118.2,0,0,0,0,195.2,6.1,1028.1,757.6,0,14,22.32,0,347.9,0.561080769
229.7,0,118.2,0,0,0,0,195.2,6.1,1028.1,757.6,0,28,24.54,0,347.9,0.561080769
229.7,0,118.2,0,0,0,0,195.2,6.1,1028.1,757.6,0,56,31.35,0,347.9,0.561080769
229.7,0,118.2,0,0,0,0,195.2,6.1,1028.1,757.6,0,100,40.86,0,347.9,0.561080769
238.1,0,94.1,0,0,0,0,186.7,7,949.9,847,0,3,19.93,0,332.2,0.562010835
238.1,0,94.1,0,0,0,0,186.7,7,949.9,847,0,14,25.69,0,332.2,0.562010835
238.1,0,94.1,0,0,0,0,186.7,7,949.9,847,0,28,30.23,0,332.2,0.562010835
238.1,0,94.1,0,0,0,0,186.7,7,949.9,847,0,56,39.59,0,332.2,0.562010835
238.1,0,94.1,0,0,0,0,186.7,7,949.9,847,0,100,44.3,0,332.2,0.562010835
250,0,95.7,0,0,0,0,187.4,5.5,956.9,861.2,0,3,13.82,0,345.7,0.542088514
250,0,95.7,0,0,0,0,187.4,5.5,956.9,861.2,0,14,24.92,0,345.7,0.542088514
250,0,95.7,0,0,0,0,187.4,5.5,956.9,861.2,0,28,29.22,0,345.7,0.542088514
250,0,95.7,0,0,0,0,187.4,5.5,956.9,861.2,0,56,38.33,0,345.7,0.542088514
250,0,95.7,0,0,0,0,187.4,5.5,956.9,861.2,0,100,42.35,0,345.7,0.542088514
212.5,0,100.4,0,0,0,0,159.3,8.7,1007.8,903.6,0,3,13.54,0,312.9,0.50910834
212.5,0,100.4,0,0,0,0,159.3,8.7,1007.8,903.6,0,14,26.31,0,312.9,0.50910834
212.5,0,100.4,0,0,0,0,159.3,8.7,1007.8,903.6,0,28,31.64,0,312.9,0.50910834
212.5,0,100.4,0,0,0,0,159.3,8.7,1007.8,903.6,0,56,42.55,0,312.9,0.50910834
212.5,0,100.4,0,0,0,0,159.3,8.7,1007.8,903.6,0,100,42.92,0,312.9,0.50910834
212.6,0,100.4,0,0,0,0,159.4,10.4,1003.8,903.8,0,3,13.33,0,313,0.509265174
212.6,0,100.4,0,0,0,0,159.4,10.4,1003.8,903.8,0,14,25.37,0,313,0.509265174
212.6,0,100.4,0,0,0,0,159.4,10.4,1003.8,903.8,0,28,37.4,0,313,0.509265174
212.6,0,100.4,0,0,0,0,159.4,10.4,1003.8,903.8,0,56,44.4,0,313,0.509265174
212.6,0,100.4,0,0,0,0,159.4,10.4,1003.8,903.8,0,100,47.74,0,313,0.509265174
212,0,124.8,0,0,0,0,159,7.8,1085.4,799.5,0,3,19.52,0,336.8,0.47209026
212,0,124.8,0,0,0,0,159,7.8,1085.4,799.5,0,14,31.35,0,336.8,0.47209026
212,0,124.8,0,0,0,0,159,7.8,1085.4,799.5,0,28,38.5,0,336.8,0.47209026
212,0,124.8,0,0,0,0,159,7.8,1085.4,799.5,0,56,45.08,0,336.8,0.47209026
212,0,124.8,0,0,0,0,159,7.8,1085.4,799.5,0,100,47.82,0,336.8,0.47209026
231.8,0,121.6,0,0,0,0,174,6.7,1056.4,778.5,0,3,15.44,0,353.4,0.492359931
231.8,0,121.6,0,0,0,0,174,6.7,1056.4,778.5,0,14,26.77,0,353.4,0.492359931
231.8,0,121.6,0,0,0,0,174,6.7,1056.4,778.5,0,28,33.73,0,353.4,0.492359931
231.8,0,121.6,0,0,0,0,174,6.7,1056.4,778.5,0,56,42.7,0,353.4,0.492359931
