cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1079.0,688.0,0,28,20.0,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1095.0,699.0,0,28,18.0,0,227.0,0.7488986751149839
680.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,2.04,881.0,562.0,0,90,65.32,0,680.0,0.24999999963235295
480.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,1.2,972.0,620.0,0,90,50.85,0,480.0,0.35416666592881946
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.75,1023.0,653.0,0,90,40.38,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.3,1056.0,674.0,0,90,31.01,0,309.0,0.5501618105172758
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1079.0,688.0,0,90,21.01,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1095.0,699.0,0,90,20.0,0,227.0,0.7488986751149839
340.0,340.0,0.0,0.0,0.0,0.0,0.0,170.0,2.38,864.0,551.0,0,3,30.0,0,680.0,0.24999999963235295
243.0,243.0,0.0,0.0,0.0,0.0,0.0,170.0,1.215,960.0,612.0,0,3,19.62,0,486.0,0.3497942379633863
189.0,189.0,0.0,0.0,0.0,0.0,0.0,170.0,0.756,1013.0,647.0,0,3,14.32,0,378.0,0.44973544854567343
155.0,155.0,0.0,0.0,0.0,0.0,0.0,170.0,0.465,1048.0,669.0,0,3,13.5,0,310.0,0.5483870950052029
131.0,131.0,0.0,0.0,0.0,0.0,0.0,170.0,0.262,1072.0,684.0,0,3,12.0,0,262.0,0.6488549593555154
113.0,113.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1089.0,695.0,0,3,9.0,0,226.0,0.7522123860521576
340.0,340.0,0.0,0.0,0.0,0.0,0.0,170.0,2.38,864.0,551.0,0,7,37.0,0,680.0,0.24999999963235295
243.0,243.0,0.0,0.0,0.0,0.0,0.0,170.0,1.215,960.0,612.0,0,7,27.0,0,486.0,0.3497942379633863
189.0,189.0,0.0,0.0,0.0,0.0,0.0,170.0,0.756,1013.0,647.0,0,7,19.74,0,378.0,0.44973544854567343
155.0,155.0,0.0,0.0,0.0,0.0,0.0,170.0,0.46,1048.0,669.0,0,7,15.0,0,310.0,0.5483870950052029
131.0,131.0,0.0,0.0,0.0,0.0,0.0,170.0,0.26,1072.0,684.0,0,7,11.0,0,262.0,0.6488549593555154
113.0,113.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1089.0,695.0,0,7,10.0,0,226.0,0.7522123860521576
340.0,340.0,0.0,0.0,0.0,0.0,0.0,170.0,2.38,864.0,551.0,0,28,60.0,0,680.0,0.24999999963235295
243.0,243.0,0.0,0.0,0.0,0.0,0.0,170.0,1.21,960.0,612.0,0,28,43.0,0,486.0,0.3497942379633863
189.0,189.0,0.0,0.0,0.0,0.0,0.0,170.0,0.75,1013.0,647.0,0,28,30.28,0,378.0,0.44973544854567343
155.0,155.0,0.0,0.0,0.0,0.0,0.0,170.0,0.46,1048.0,669.0,0,28,24.43,0,310.0,0.5483870950052029
131.0,131.0,0.0,0.0,0.0,0.0,0.0,170.0,0.26,1072.0,684.0,0,28,18.77,0,262.0,0.6488549593555154
113.0,113.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1089.0,695.0,0,28,16.34,0,226.0,0.7522123860521576
340.0,340.0,0.0,0.0,0.0,0.0,0.0,170.0,2.38,864.0,551.0,0,90,68.0,0,680.0,0.24999999963235295
243.0,243.0,0.0,0.0,0.0,0.0,0.0,170.0,1.21,960.0,612.0,0,90,55.0,0,486.0,0.3497942379633863
189.0,189.0,0.0,0.0,0.0,0.0,0.0,170.0,0.75,1013.0,647.0,0,90,43.0,0,378.0,0.44973544854567343
155.0,155.0,0.0,0.0,0.0,0.0,0.0,170.0,0.46,1048.0,669.0,0,90,34.0,0,310.0,0.5483870950052029
131.0,131.0,0.0,0.0,0.0,0.0,0.0,170.0,0.26,1072.0,684.0,0,90,23.5,0,262.0,0.6488549593555154
113.0,113.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1089.0,695.0,0,90,21.3,0,226.0,0.7522123860521576
476.0,0.0,204.0,0.0,0.0,0.0,0.0,170.0,1.7,845.0,539.0,0,3,25.0,0,680.0,0.24999999963235295
340.0,0.0,146.0,0.0,0.0,0.0,0.0,170.0,0.97,947.0,604.0,0,3,16.0,0,486.0,0.3497942379633863
264.0,0.0,113.0,0.0,0.0,0.0,0.0,170.0,0.55,1004.0,641.0,0,3,10.0,0,377.0,0.4509283807667682
216.0,0.0,93.0,0.0,0.0,0.0,0.0,170.0,0.3,1040.0,663.0,0,3,9.0,0,309.0,0.5501618105172758
183.0,0.0,76.0,0.0,0.0,0.0,0.0,170.0,0.0,1065.0,679.0,0,3,7.0,0,259.0,0.6563706538364068
159.0,0.0,68.0,0.0,0.0,0.0,0.0,170.0,0.0,1083.0,691.0,0,3,6.0,0,227.0,0.7488986751149839
476.0,0.0,204.0,0.0,0.0,0.0,0.0,170.0,1.7,845.0,539.0,0,7,40.0,0,680.0,0.24999999963235295
340.0,0.0,146.0,0.0,0.0,0.0,0.0,170.0,0.97,947.0,604.0,0,7,29.0,0,486.0,0.3497942379633863
264.0,0.0,113.0,0.0,0.0,0.0,0.0,170.0,0.56,1004.0,641.0,0,7,22.0,0,377.0,0.4509283807667682
216.0,0.0,93.0,0.0,0.0,0.0,0.0,170.0,0.3,1040.0,663.0,0,7,18.0,0,309.0,0.5501618105172758
183.0,0.0,76.0,0.0,0.0,0.0,0.0,170.0,0.0,1065.0,679.0,0,7,15.0,0,259.0,0.6563706538364068
159.0,0.0,68.0,0.0,0.0,0.0,0.0,170.0,0.0,1083.0,691.0,0,7,12.0,0,227.0,0.7488986751149839
476.0,0.0,204.0,0.0,0.0,0.0,0.0,170.0,1.7,845.0,539.0,0,28,55.0,0,680.0,0.24999999963235295
340.0,0.0,146.0,0.0,0.0,0.0,0.0,170.0,0.72,947.0,604.0,0,28,41.0,0,486.0,0.3497942379633863
264.0,0.0,113.0,0.0,0.0,0.0,0.0,170.0,0.56,1004.0,641.0,0,28,34.5,0,377.0,0.4509283807667682
216.0,0.0,93.0,0.0,0.0,0.0,0.0,170.0,0.31,1040.0,663.0,0,28,29.01,0,309.0,0.5501618105172758
183.0,0.0,76.0,0.0,0.0,0.0,0.0,170.0,0.0,1065.0,679.0,0,28,18.3,0,259.0,0.6563706538364068
159.0,0.0,68.0,0.0,0.0,0.0,0.0,170.0,0.0,1083.0,691.0,0,28,11.23,0,227.0,0.7488986751149839
476.0,0.0,204.0,0.0,0.0,0.0,0.0,170.0,1.7,845.0,539.0,0,90,63.0,0,680.0,0.24999999963235295
340.0,0.0,146.0,0.0,0.0,0.0,0.0,170.0,0.97,947.0,604.0,0,90,46.0,0,486.0,0.3497942379633863
264.0,0.0,113.0,0.0,0.0,0.0,0.0,170.0,0.56,1004.0,641.0,0,90,37.9,0,377.0,0.4509283807667682
216.0,0.0,93.0,0.0,0.0,0.0,0.0,170.0,0.3,1040.0,663.0,0,90,31.61,0,309.0,0.5501618105172758
183.0,0.0,76.0,0.0,0.0,0.0,0.0,170.0,0.0,1065.0,679.0,0,90,21.59,0,259.0,0.6563706538364068
159.0,0.0,68.0,0.0,0.0,0.0,0.0,170.0,0.0,1083.0,691.0,0,90,14.78,0,227.0,0.7488986751149839
680.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,2.04,881.0,562.0,0,3,45.0,0,680.0,0.24999999963235295
480.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,1.2,972.0,620.0,0,3,32.26,0,480.0,0.35416666592881946
612.0,0.0,0.0,68.0,0.0,0.0,0.0,170.0,1.95,874.0,558.0,0,3,59.69,0,680.0,0.24999999963235295
578.0,0.0,0.0,102.0,0.0,0.0,0.0,170.0,3.46,871.0,555.0,0,3,50.43,0,680.0,0.24999999963235295
437.0,0.0,0.0,49.0,0.0,0.0,0.0,170.0,1.96,968.0,617.0,0,3,34.15,0,486.0,0.3497942379633863
